OrderID	OrderType	Status	Symbol	Time	Comment	Volume	Price	TakeProfit	StopLoss	Profit	Swap	Commission	Balance	Equity	Margin	FreeMargin
0	SYSTEM	EA_STARTED	USDCHF	01:01:2018 00:00:00	DailyOrderEA v1.01 started with 1000 orders	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10000.0	10000.0	0.0	10000.0
2	buy	OPEN	USDCHF	02:01:2018 08:00:00	CSV Order #1	0.1	0.97365	0.97465	0.97335	0.0	0.0	0.0	10000.0	9999.59	100.0	9899.59
2	buy	CLOSE	USDCHF	02:01:2018 08:40:15	CSV Order #1 - CLOSED	0.1	0.97335	0.0	0.0	-3.43	0.0	-0.35000000000000003	9996.92	9996.92	0.0	9996.92
4	sell	OPEN	USDCHF	03:01:2018 08:00:00	CSV Order #2	0.1	0.9717	0.9707	0.972	0.0	0.0	0.0	9996.92	9996.51	100.0	9896.51
4	sell	CLOSE	USDCHF	03:01:2018 08:51:17	CSV Order #2 - CLOSED	0.1	0.972	0.0	0.0	-3.44	0.0	-0.35000000000000003	9993.83	9993.83	0.0	9993.83
6	buy	OPEN	USDCHF	04:01:2018 08:00:00	CSV Order #3	0.1	0.97768	0.97868	0.97738	0.0	0.0	0.0	9993.83	9993.42	100.0	9893.42
6	buy	CLOSE	USDCHF	04:01:2018 08:08:41	CSV Order #3 - CLOSED	0.1	0.97734	0.0	0.0	-3.83	0.0	-0.35000000000000003	9990.35	9990.35	0.0	9990.35
8	sell	OPEN	USDCHF	05:01:2018 08:00:00	CSV Order #4	0.1	0.97455	0.97355	0.97485	0.0	0.0	0.0	9990.35	9989.73	100.0	9889.73
8	sell	CLOSE	USDCHF	05:01:2018 08:15:33	CSV Order #4 - CLOSED	0.1	0.97485	0.0	0.0	-3.43	0.0	-0.35000000000000003	9987.27	9987.27	0.0	9987.27
10	buy	OPEN	USDCHF	08:01:2018 08:00:00	CSV Order #5	0.1	0.97586	0.97686	0.97556	0.0	0.0	0.0	9987.27	9986.76	100.0	9886.76
10	buy	CLOSE	USDCHF	08:01:2018 09:57:24	CSV Order #5 - CLOSED	0.1	0.97686	0.0	0.0	9.89	0.0	-0.35000000000000003	9997.51	9997.51	0.0	9997.51
12	buy	OPEN	USDCHF	09:01:2018 08:00:00	CSV Order #6	0.1	0.97762	0.97862	0.9773200000000001	0.0	0.0	0.0	9997.51	9997.2	100.0	9897.2
12	buy	CLOSE	USDCHF	09:01:2018 09:30:40	CSV Order #6 - CLOSED	0.1	0.97865	0.0	0.0	10.17	0.0	-0.35000000000000003	10008.03	10008.03	0.0	10008.03
